domain;phylum;className;order;family;genus;COLA1;COLB1;N2A;N2B;N3C1;N1C
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;70;260;258;199;297;157
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Caulimoviridae;Cavemovirus;2;4;1;0;3;0
Eukaryota;Streptophyta;Coniferopsida;Coniferales;Pinaceae;Cedrus;0;0;3;2;0;0
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Cellulomonadaceae;Cellulomonas;99;571;141;240;449;469
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Cellulosilyticum;7;61;7;43;26;11
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Cellvibrio;20;96;100;85;17;25
Archaea;Thaumarchaeota;unclassified (derived from Thaumarchaeota);Cenarchaeales;Cenarchaeaceae;Cenarchaeum;0;1;0;3;2;3
Eukaryota;Arthropoda;Insecta;Diptera;Tephritidae;Ceratitis;0;0;4;0;0;0
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Ceratophyllales;Ceratophyllaceae;Ceratophyllum;5;1;2;3;0;2
Eukaryota;Chordata;Mammalia;Perissodactyla;Rhinocerotidae;Ceratotherium;0;1;0;0;0;0
Eukaryota;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Chaetomium;10;27;4;28;7;14
Eukaryota;Streptophyta;Coleochaetophyceae;Coleochaetales;Chaetosphaeridiaceae;Chaetosphaeridium;0;1;0;2;0;1
Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Pluteaceae;Chamaeota;0;11;0;5;2;11
Eukaryota;Streptophyta;Charophyceae;Charales;Characeae;Chara;1;0;0;1;0;0
Eukaryota;Chordata;Actinopterygii;Stomiiformes;Stomiidae;Chauliodus;0;0;1;0;0;0
Eukaryota;Streptophyta;Polypodiopsida;Polypodiales;Pteridaceae;Cheilanthes;0;0;0;1;0;0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Chelativorans;24;117;66;61;123;70
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Papillomaviridae;Chipapillomavirus;0;0;0;0;0;1
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;unclassified (derived from Sphingobacteriales);Chitinophaga;36;225;92;176;141;36
Bacteria;Chlamydiae;Chlamydiae (class);Chlamydiales;Chlamydiaceae;Chlamydia;1;5;1;1;3;2
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;5;27;2;3;7;17
Bacteria;Chlamydiae;Chlamydiae (class);Chlamydiales;Chlamydiaceae;Chlamydophila;2;10;2;3;3;3
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Chloranthales;Chloranthaceae;Chloranthus;21;5;0;1;2;0
Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;0;0;1;0;0;0
Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobaculum;10;63;5;19;27;19
Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium;43;160;64;93;54;67
Eukaryota;Chordata;Mammalia;Primates;Cercopithecidae;Chlorocebus;0;0;0;1;0;0
Bacteria;Chloroflexi;Chloroflexi (class);Chloroflexales;Chloroflexaceae;Chloroflexus;24;165;80;123;140;87
Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chloroherpeton;7;22;7;9;8;11
Eukaryota;Streptophyta;Chlorokybophyceae;Chlorokybales;Chlorokybaceae;Chlorokybus;0;0;1;0;0;0
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Phycodnaviridae;Chlorovirus;1;1;0;0;1;1
Eukaryota;unclassified (derived from Eukaryota);Florideophyceae;Gigartinales;Gigartinaceae;Chondrus;0;0;0;1;0;0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Chromobacterium;29;155;85;133;69;66
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Chromohalobacter;55;162;474;176;79;66
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;158;593;158;912;69;68
Eukaryota;unclassified (derived from Eukaryota);Synurophyceae;Synurales;Synuraceae;Chrysodidymus;0;0;0;0;0;1
Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Chrysolophus;0;1;0;2;0;1
Bacteria;Verrucomicrobia;Spartobacteria;unclassified (derived from Spartobacteria);unclassified (derived from Spartobacteria);Chthoniobacter;4;11;9;18;6;3
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Fabales;Fabaceae;Cicer;13;0;0;0;0;7
Eukaryota;Chordata;Ascidiacea;Enterogona;Cionidae;Ciona;2;106;0;4;4;7
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Citreicella;9;14;30;11;11;5
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;99;299;98;101;201;574
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Citromicrobium;6;90;77;46;15;14
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Cucurbitales;Cucurbitaceae;Citrullus;1;0;2;2;0;3
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Sapindales;Rutaceae;Citrus;95;7;12;12;3;10
