RSV;Taxonomic classification;ISSCapoA1;ISSCapoA2;ISSCapoA3;ISSCapoA4;ISSCapoA5;ISSCapoA6;ISSCapoA7;ISSCapoA8;ISSCapoA9;ISSCapoC1;ISSCapoC2;ISSCapoC3;ISSCapoC4;ISSCapoC5;ISSCapoC6;ISSCapoC7;ISSCapoB1;ISSCapoB2;ISSCapoB3;ISSCapoB4;ISSCapoB5;ISSCapoB6;ISSCapoB7;ISSCapoB8
RSV_0053;"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomodales;f__Erythrobacteraceae;g__Erythrobacter;s__";0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RSV_0054;"k__Bacteria;p__Parcubacteria;c__;o__;f__;g__;s__";0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RSV_0055;"k__Bacteria;p__Parcubacteria;c__;o__;f__;g__;s__";0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RSV_0056;"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermacoccaceae;g__Dermacoccus;s__";0;0;0;0;0;173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RSV_0057;"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__";61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RSV_0058;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__";26;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0
RSV_0059;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-005;s__";0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RSV_0060;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromodaceae;g__Porphyromos;s__";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0
RSV_0061;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001;s__";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0
RSV_0062;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Hydrogenophilales;f__Hydrogenophilaceae;g__Thiobacillus;s__";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0
